Character A,Character B,Image count,Earliest appearance,Total upvotes,Upvotes per day,Total Wilson score,Wilson per day,Images per day
Sunset Shimmer,Twilight Sparkle,6205,2013-02-25 01:27:30.239000+00:00,1007768,454.35888187556355,962117,433.77682596934176,2.797565374211001
Applejack,Rarity,5267,2012-01-20 02:58:05+00:00,1016839,388.10648854961835,982668,375.0641221374046,2.01030534351145
Rarity,Spike,5514,2012-01-06 03:10:14+00:00,989508,375.66742596810934,948641,360.1522399392559,2.093394077448747
Rainbow Dash,Twilight Sparkle,4647,2012-01-06 12:59:14+00:00,793124,301.1100987091875,762343,289.42406985573274,1.7642369020501139
Starlight Glimmer,Trixie,1860,2015-04-06 04:07:48.934000+00:00,399783,276.0932320441989,388192,268.08839779005524,1.2845303867403315
Applejack,Rainbow Dash,4644,2012-01-21 23:44:48+00:00,679912,259.6074837724322,646401,246.81214203894615,1.7731958762886597
Fluttershy,Rainbow Dash,3694,2012-01-02 04:15:38+00:00,651734,247.05610310841547,626236,237.3904473085671,1.400303260045489
Princess Celestia,Princess Luna,1639,2012-01-15 20:36:23+00:00,624594,237.94057142857142,605330,230.60190476190476,0.6243809523809524
Shining Armor,Twilight Sparkle,1167,2012-06-17 20:59:13+00:00,558752,226.1238365034399,542519,219.55443140428977,0.47227842978551193
Octavia Melody,Vinyl Scratch,2558,2012-01-08 14:05:50+00:00,593974,225.67401215805472,578738,219.8852583586626,0.9718844984802432
Princess Celestia,Twilight Sparkle,2225,2012-01-11 04:03:45+00:00,592737,225.46101179155573,574951,218.695701787752,0.8463294028147584
Princess Cadance,Shining Armor,2000,2012-05-27 18:13:15+00:00,492472,197.62118780096307,475723,190.90008025682184,0.8025682182985554
Trixie,Twilight Sparkle,4187,2012-01-15 19:18:54+00:00,483554,184.2110476190476,461465,175.79619047619047,1.595047619047619
Pinkie Pie,Rainbow Dash,2932,2012-01-17 06:49:24+00:00,427602,163.02020587113992,407134,155.21692718261534,1.117804041174228
Tempest Shadow,Twilight Sparkle,657,2017-07-01 17:17:57.944000+00:00,100572,159.3851030110935,96022,152.1743264659271,1.0412044374009508
Spike,Twilight Sparkle,1436,2012-06-17 22:55:28+00:00,391468,158.42492917847025,377769,152.88101983002832,0.5811412383650344
Rainbow Dash,Soarin',4146,2012-01-20 01:46:30+00:00,391014,149.24198473282442,368384,140.60458015267176,1.582442748091603
Gallus,Sandbar,268,2018-03-25 04:03:48.492000+00:00,50421,138.51923076923077,48383,132.92032967032966,0.7362637362637363
Princess Luna,Twilight Sparkle,1479,2012-01-22 00:51:14+00:00,358863,137.07524828113063,347236,132.6340718105424,0.564935064935065
Big Macintosh,Fluttershy,2319,2012-01-23 11:58:38+00:00,340127,129.96828429499428,319401,122.04852884982805,0.8861291555215896
Bright Mac,Pear Butter,576,2017-03-06 05:09:11.692000+00:00,94460,126.28342245989305,92933,124.24197860962566,0.7700534759358288
Applejack,Big Macintosh,882,2012-06-18 02:07:43+00:00,309707,125.38744939271255,297257,120.34696356275303,0.357085020242915
Starlight Glimmer,Sunburst,738,2015-11-29 09:18:14.219000+00:00,147176,121.53261767134599,142255,117.4690338563171,0.6094137076796037
Rainbow Dash,Rarity,1680,2012-01-23 10:34:38+00:00,308387,117.83989300726022,296288,113.21666029805121,0.6419564386702331
Applejack,Fluttershy,1088,2012-02-17 02:06:18+00:00,297320,114.70679012345678,288822,111.42824074074075,0.41975308641975306
Fluttershy,Rarity,1264,2012-01-24 08:55:57+00:00,294666,112.63990825688073,283815,108.49197247706422,0.4831804281345566
Rarity,Twilight Sparkle,1505,2012-02-15 02:01:21+00:00,289699,111.6804163454125,279615,107.79298380878951,0.5801850424055512
Big Macintosh,Sugar Belle,469,2016-11-14 12:49:28.233000+00:00,93565,108.79651162790698,89638,104.23023255813953,0.5453488372093023
Bow Hothoof,Windy Whistles,254,2017-05-07 15:28:52.762000+00:00,74152,108.0932944606414,72782,106.09620991253644,0.37026239067055394
Princess Ember,Spike,430,2016-04-16 15:57:45.393000+00:00,115096,107.36567164179104,111523,104.03264925373135,0.40111940298507465
Flash Sentry,Twilight Sparkle,2291,2013-04-27 04:36:43.975000+00:00,219067,101.56096430227167,179818,83.36485859990728,1.0621233194251274
Big Macintosh,Marble Pie,416,2015-10-24 16:01:15.113000+00:00,125056,100.28548516439454,121179,97.17642341619887,0.33360064153969526
Discord,Fluttershy,2177,2012-01-06 07:43:58+00:00,245027,93.02467729688686,231349,87.83181473044799,0.8264996203492787
Pinkie Pie,Twilight Sparkle,1496,2012-01-23 13:36:05+00:00,240596,91.93580435613298,231639,88.5131830340084,0.5716469239587314
Fluttershy,Pinkie Pie,1227,2012-01-22 20:50:13+00:00,233163,89.06149732620321,224303,85.67723453017571,0.46867838044308635
Stellar Flare,Sunburst,63,2017-12-17 05:38:48.132000+00:00,40243,87.10606060606061,39298,85.06060606060606,0.13636363636363635
Shining Armor,Twilight Velvet,256,2013-03-23 15:06:06.355000+00:00,177867,81.14370437956204,173949,79.35629562043796,0.11678832116788321
Fluttershy,Twilight Sparkle,1084,2012-01-16 22:44:59+00:00,212291,80.90358231707317,203620,77.59908536585365,0.41310975609756095
Starlight Glimmer,Twilight Sparkle,433,2015-03-07 16:41:22.248000+00:00,111916,75.7212449255751,108492,73.40460081190798,0.2929634641407307
Applejack,Twilight Sparkle,1014,2012-01-23 11:09:46+00:00,197026,75.2869698127627,189755,72.50859763087504,0.38746656476881924
Quibble Pants,Rainbow Dash,259,2016-07-23 02:42:08.630000+00:00,70657,72.54312114989733,68163,69.98254620123203,0.26591375770020537
Discord,Princess Celestia,1307,2012-01-17 17:48:28+00:00,171067,65.21807091117041,160886,61.33663743804804,0.4982844071673656
Adagio Dazzle,Sunset Shimmer,518,2014-08-04 09:34:24.217000+00:00,107624,63.569994093325455,104546,61.751919669226226,0.305965741287655
Rainbow Dash,Scootaloo,695,2012-01-29 22:00:48+00:00,153580,58.820375335120644,147406,56.45576407506702,0.2661815396399847
Spike,Starlight Glimmer,394,2015-04-09 06:54:44.315000+00:00,84564,58.521799307958474,80337,55.596539792387546,0.2726643598615917
Moondancer,Twilight Sparkle,262,2015-07-04 16:13:48.164000+00:00,77488,57.01839587932303,75763,55.749080206033845,0.1927888153053716
Aria Blaze,Sonata Dusk,388,2014-07-26 18:17:16.721000+00:00,95454,56.0834312573443,93625,55.008813160987074,0.22796709753231492
Rarity,Sweetie Belle,341,2012-06-17 23:52:42+00:00,130303,52.73290165924727,126045,51.009712666936466,0.13800080938891138
Smolder,Spike,106,2017-12-18 16:39:25.081000+00:00,23751,51.52060737527115,22809,49.477223427331886,0.2299349240780911
Big Macintosh,Cheerilee,747,2012-02-20 03:49:37+00:00,125844,48.6071842410197,121234,46.82657396678254,0.2885283893395133
Gallus,Silverstream,135,2018-01-07 01:59:56.057000+00:00,21303,48.30612244897959,20385,46.224489795918366,0.30612244897959184
Queen Chrysalis,Shining Armor,283,2012-06-03 19:41:10+00:00,117287,47.19798792756539,114813,46.202414486921526,0.11388329979879276
Apple Bloom,Big Macintosh,252,2012-06-17 22:20:13+00:00,116516,47.153379198704975,112347,45.466208012950226,0.10198300283286119
Maud Pie,Mudbriar,144,2018-03-17 03:08:48.297000+00:00,17014,45.736559139784944,16144,43.39784946236559,0.3870967741935484
Pinkie Pie,Rarity,717,2012-06-18 02:50:41+00:00,109644,44.390283400809714,105597,42.75182186234818,0.2902834008097166
Flash Sentry,Sunset Shimmer,1034,2013-06-23 00:49:11.357000+00:00,91677,43.65571428571429,77500,36.904761904761905,0.49238095238095236
Applejack,Spike,612,2012-01-19 16:22:15+00:00,113018,43.12018313620755,108096,41.2422739412438,0.23349866463181992
Cheese Sandwich,Pinkie Pie,879,2014-01-15 19:39:54.679000+00:00,81163,42.85269271383316,76386,40.33051742344245,0.4640971488912355
Lyra Heartstrings,Thunderlane,31,2017-01-18 23:11:26.923000+00:00,34055,42.83647798742138,33402,42.01509433962264,0.0389937106918239
Spike,Sweetie Belle,540,2012-06-17 23:19:20+00:00,102182,41.35248887090247,98091,39.696883852691215,0.21853500607041684
Coco Pommel,Rarity,231,2014-01-04 16:55:39.758000+00:00,78632,41.276640419947505,77179,40.513910761154854,0.12125984251968504
Maud Pie,Pinkie Pie,164,2014-03-13 11:37:14.864000+00:00,72350,39.38486663037561,70571,38.41643984757757,0.08927599346761024
Starlight Glimmer,Sunset Shimmer,334,2015-04-08 03:28:30.941000+00:00,56803,39.28284923928077,53702,37.138312586445366,0.23098201936376211
Maud Pie,Trixie,427,2014-04-25 01:03:47.404000+00:00,69856,38.9386845039019,68257,38.04738015607581,0.23801560758082496
Scootaloo,Sweetie Belle,408,2012-06-17 21:49:42+00:00,94862,38.390125455281265,92117,37.27923917442331,0.1651153379198705
Sky Stinger,Vapor Trail,122,2016-10-10 08:22:56.105000+00:00,33952,37.935195530726254,33341,37.25251396648045,0.13631284916201117
